Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Damian Lillard,MIL,27:30,14,26,11,23,0,0,1,2,3,6,1,0,0,0,39,.538,.478,,lillada01
Tyrese Haliburton,IND,27:02,11,15,10,14,0,0,2,5,7,6,0,0,3,0,32,.733,.714,,halibty01
Giannis Antetokounmpo,MIL,23:25,11,16,0,3,1,2,4,3,7,1,0,0,0,0,23,.688,.000,.500,antetgi01
Jayson Tatum,BOS,21:35,8,13,4,9,0,0,1,2,3,3,1,1,1,0,20,.615,.444,,tatumja01
Bam Adebayo,MIA,16:46,1,2,1,1,0,0,1,1,2,2,0,0,1,0,3,.500,1.000,,adebaba01
Jaylen Brown,BOS,22:14,15,23,6,12,0,0,5,3,8,3,1,0,1,0,36,.652,.500,,brownja02
Paolo Banchero,ORL,18:55,3,9,0,4,0,0,3,6,9,5,0,0,0,0,6,.333,.000,,banchpa01
Scottie Barnes,TOR,17:43,7,10,2,5,0,0,0,8,8,3,1,0,3,0,16,.700,.400,,barnesc01
Jalen Brunson,NYK,17:17,5,12,2,9,0,0,2,2,4,5,1,0,1,0,12,.417,.222,,brunsja01
Tyrese Maxey,PHI,17:00,3,5,2,4,2,2,2,1,3,3,0,0,0,0,10,.600,.500,1.000,maxeyty01
Donovan Mitchell,CLE,16:05,3,9,3,9,0,0,2,5,7,2,1,0,3,0,9,.333,.333,,mitchdo01
Trae Young,ATL,14:28,2,6,1,4,0,0,1,2,3,7,0,0,1,1,5,.333,.250,,youngtr01
Team Totals,,240,83,146,42,97,3,4,24,40,64,46,6,1,14,1,211,.568,.433,.750,-9999
Shai Gilgeous-Alexander,OKC,27:33,12,16,7,10,0,0,2,2,4,6,1,0,0,0,31,.750,.700,,gilgesh01
Kevin Durant,PHO,24:51,7,12,4,8,0,0,2,3,5,5,2,0,3,0,18,.583,.500,,duranke01
Nikola Jokić,DEN,23:19,6,8,1,1,0,0,3,1,4,9,2,0,1,1,13,.750,1.000,,jokicni01
Luka Dončić,DAL,22:45,3,10,1,6,0,0,2,5,7,7,0,0,1,0,7,.300,.167,,doncilu01
LeBron James,LAL,13:48,4,10,0,3,0,0,0,4,4,3,0,0,1,0,8,.400,.000,,jamesle01
Karl-Anthony Towns,MIN,27:41,23,35,4,13,0,0,3,5,8,3,0,0,1,0,50,.657,.308,,townska01
Stephen Curry,GSW,25:50,6,17,4,13,0,0,2,3,5,8,0,1,2,0,16,.353,.308,,curryst01
Anthony Davis,LAL,22:25,3,5,0,2,0,0,1,7,8,8,0,1,1,0,6,.600,.000,,davisan02
Devin Booker,PHO,19:05,7,14,1,7,0,0,0,4,4,7,2,0,0,0,15,.500,.143,,bookede01
Anthony Edwards,MIN,12:34,2,3,0,1,0,0,0,1,1,1,0,0,0,0,4,.667,.000,,edwaran01
Kawhi Leonard,LAC,10:12,2,4,1,3,0,0,0,2,2,1,0,0,0,1,5,.500,.333,,leonaka01
Paul George,LAC,9:57,5,9,2,4,1,1,1,0,1,2,1,0,1,0,13,.556,.500,1.000,georgpa01
Team Totals,,240,80,143,25,71,1,1,16,37,53,60,8,2,11,2,186,.559,.352,1.000,-9999
