Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,-9999
1,Álex Abrines,SG,24,OKC,75,1134,,.395,.443,.380,.540,.848,.567,.158,.759,,86,87,105,104,111,102,63,225,,10.7,6.8,abrinal01
2,Quincy Acy,PF,27,BRK,70,1359,,.356,.384,.349,.496,.817,.525,.164,.800,,77,75,97,95,106,94,65,237,,-18.5,-24.4,acyqu01
3,Steven Adams,C,24,OKC,76,2487,,.629,.631,.000,.629,.559,.630,.402,.003,,137,124,,121,73,113,159,1,,153.8,124.1,adamsst01
4,Bam Adebayo,C,20,MIA,69,1368,,.512,.523,.000,.512,.721,.570,.526,.021,,111,102,,98,94,102,209,6,,-6.4,11.2,adebaba01
5,Arron Afflalo,SG,32,ORL,53,682,,.401,.413,.386,.485,.846,.516,.160,.432,,87,81,107,93,110,93,64,128,,-11.9,-13.9,afflaar01
6,Cole Aldrich,C,29,MIN,21,49,,.333,.333,,.333,.333,.340,.400,.000,,72,65,,64,43,61,159,,,-5.6,-7.6,aldrico01
7,LaMarcus Aldridge,C,32,SAS,75,2509,,.510,.526,.293,.520,.837,.570,.296,.068,,111,103,81,100,109,102,118,20,,-3.1,41.5,aldrila01
8,Jarrett Allen,C,19,BRK,72,1441,,.589,.599,.333,.596,.776,.636,.370,.038,,128,117,92,114,101,114,147,11,,59.2,73.5,allenja01
9,Kadeem Allen,PG,25,BOS,18,107,,.273,.545,.000,.273,.778,.366,.409,.500,,59,107,,52,101,66,162,148,,-10.9,-9.9,allenka01
10,Tony Allen,SF,36,NOP,22,273,,.484,.506,.333,.505,.524,.514,.231,.132,,105,99,92,97,68,92,92,39,,-2.9,-8.5,allento01
11,Al-Farouq Aminu,PF,27,POR,69,2072,,.395,.432,.369,.503,.738,.522,.137,.582,,86,85,102,96,96,94,55,173,,-21.7,-42.5,aminual01
12,Justin Anderson,SF,24,PHI,38,519,,.431,.535,.330,.515,.737,.540,.188,.510,,94,105,91,99,96,97,75,151,,-2.6,-7.3,anderju01
13,Kyle Anderson,SF,24,SAS,74,1978,,.527,.556,.333,.549,.712,.582,.333,.130,,115,109,92,105,93,105,132,39,,24.4,26.4,anderky01
14,Ryan Anderson,PF,29,HOU,66,1725,,.431,.539,.386,.568,.774,.592,.194,.706,,94,106,107,109,101,106,77,210,,44.7,37.6,anderry01
15,Ike Anigbogu,C,19,IND,11,30,,.444,.444,,.444,.833,.558,.667,.000,,97,87,,85,109,100,265,,,-1.4,.1,anigbik01
16,Giannis Antetokounmpo,PF,23,MIL,75,2756,,.529,.554,.307,.545,.760,.598,.457,.100,,115,109,85,104,99,108,182,30,,65.6,140.9,antetgi01
17,Carmelo Anthony,PF,33,OKC,78,2501,,.404,.437,.357,.476,.767,.503,.165,.406,,88,86,99,91,100,90,66,120,,-104.5,-132.6,anthoca01
18,OG Anunoby,SF,20,TOR,74,1481,,.471,.604,.371,.577,.629,.587,.179,.569,,102,118,102,111,82,105,71,169,,38.3,22.8,anunoog01
19,Ryan Arcidiacono,PG,23,CHI,24,304,,.415,.800,.290,.524,.833,.550,.146,.756,,90,157,80,101,109,99,58,224,,.3,-0.5,arcidry01
20,Trevor Ariza,SF,32,HOU,67,2269,,.412,.519,.368,.542,.854,.567,.137,.710,,89,102,102,104,111,102,54,211,,27.4,14.3,arizatr01
21,Darrell Arthur,PF,29,DEN,19,141,,.468,.583,.348,.553,.667,.559,.064,.489,,102,114,96,106,87,100,25,145,,3.0,.3,arthuda01
22,Jamel Artis,SG,25,ORL,15,279,,.392,.460,.276,.443,.583,.457,.152,.367,,85,90,76,85,76,82,60,109,,-12.3,-16.7,artisja01
23,Ömer Aşık,C,31,TOT,18,182,,.409,.409,,.409,.308,.397,.591,.000,,89,80,,78,40,71,235,,,-4.9,-8.8,asikom01
24,D.J. Augustin,PG,30,ORL,75,1760,,.452,.485,.419,.557,.868,.615,.350,.504,,98,95,116,107,113,111,139,149,,39.1,72.9,augusdj01
25,Luke Babbitt,SF,28,TOT,50,715,,.423,.525,.385,.563,.773,.576,.102,.726,,92,103,106,108,101,104,41,215,,17.9,9.1,babbilu01
26,Dwayne Bacon,SG,22,CHO,53,713,,.375,.409,.256,.404,.800,.431,.130,.224,,81,80,71,77,104,78,52,66,,-45.1,-50.8,bacondw01
27,Ron Baker,SG,24,NYK,29,385,,.339,.346,.333,.432,.769,.504,.441,.559,,74,68,92,83,100,91,175,166,,-10.5,-7.3,bakerro01
28,Wade Baldwin,PG,21,POR,7,80,,.667,.625,.800,.762,.600,.748,.476,.238,,145,122,221,146,78,135,189,71,,10.1,9.7,baldwwa01
29,Lonzo Ball,PG,20,LAL,52,1780,,.360,.420,.305,.440,.451,.444,.126,.523,,78,82,84,84,59,80,50,155,,-91.9,-134.1,balllo01
30,J.J. Barea,PG,33,DAL,69,1603,,.439,.499,.367,.522,.784,.545,.148,.454,,95,98,102,100,102,98,59,135,,1.8,-16.4,bareajo01
31,Harrison Barnes,PF,25,DAL,77,2634,,.445,.478,.357,.494,.827,.539,.259,.276,,97,94,99,95,108,97,103,82,,-66.2,-44.8,barneha02
32,Will Barton,SG,27,DEN,81,2683,,.452,.510,.370,.528,.805,.562,.220,.411,,98,100,102,101,105,101,87,122,,14.5,14.0,bartowi01
33,Nicolas Batum,SG,29,CHO,64,1981,,.415,.473,.336,.486,.831,.523,.200,.422,,90,93,93,93,108,94,79,125,,-45.5,-46.6,batumni01
