Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,PF-C,24,TOT,74,1624,,,1%,47%,53%,-0.7,-3.5,34,23,87,13,54,4,234,10,39,achiupr01
2,Bam Adebayo,C,26,MIA,71,2416,,,,,100%,0.8,-3.1,63,44,81,32,179,6,678,35,46,adebaba01
3,Ochai Agbaji,SG,23,TOT,78,1641,,16%,77%,7%,,-6.8,-1.6,25,18,61,11,30,3,201,13,41,agbajoc01
4,Santi Aldama,PF,23,MEM,61,1618,,,5%,82%,14%,-8.9,-2.7,35,18,52,5,41,3,342,16,26,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,82,1921,43%,48%,9%,,,8.7,4.3,51,16,80,4,24,29,496,4,29,alexani01
6,Grayson Allen,SG,28,PHO,75,2513,26%,72%,2%,,,4.8,4.3,56,16,75,8,63,19,546,15,26,allengr01
7,Jarrett Allen,C,25,CLE,77,2442,,,,1%,100%,5.0,6.1,67,28,87,21,142,15,499,31,75,allenja01
8,Timmy Allen,SF,24,MEM,5,125,,38%,53%,9%,,-24.0,-17.3,1,0,13,0,1,2,13,0,1,allenti01
9,Jose Alvarado,PG,25,NOP,56,1028,100%,,,,,12.3,10.4,25,10,27,1,19,12,275,1,22,alvarjo01
10,Kyle Anderson,PF,30,MIN,79,1782,,,55%,42%,4%,5.6,-1.7,57,20,57,6,65,7,781,11,20,anderky01
11,Giannis Antetokounmpo,PF,29,MIL,73,2567,,,,59%,41%,6.2,10.0,75,72,83,45,377,7,1242,105,90,antetgi01
12,Thanasis Antetokounmpo,PF,31,MIL,34,155,,,9%,34%,58%,-11.8,-15.1,4,5,11,1,1,1,44,0,3,antetth01
13,Cole Anthony,PG,23,ORL,81,1817,100%,,,,,1.9,0.3,68,39,88,7,87,11,569,15,32,anthoco01
14,OG Anunoby,SF,26,TOT,50,1702,,1%,64%,34%,1%,11.6,16.2,33,19,58,15,47,4,252,15,41,anunoog01
15,Ryan Arcidiacono,PG,29,NYK,20,45,,65%,36%,,,7.6,2.9,2,0,3,0,0,2,11,0,0,arcidry01
16,Deni Avdija,SF,23,WAS,75,2257,,,54%,42%,4%,-6.3,6.9,87,45,93,18,144,12,672,45,76,avdijde01
17,Deandre Ayton,C,25,POR,55,1784,,,,,100%,-8.7,1.3,28,42,75,14,40,3,222,11,41,aytonde01
18,Udoka Azubuike,C,24,PHO,16,113,,,,,100%,-17.1,-21.0,0,2,12,2,6,1,6,1,3,azubuud01
19,Ibou Badji,C,21,POR,22,226,,,,,100%,-20.0,-11.3,2,7,30,4,5,1,28,0,3,badjiib01
20,Marvin Bagley III,C,24,TOT,50,1053,,,,3%,98%,-6.7,2.8,19,13,43,18,64,10,128,15,38,baglema01
21,Amari Bailey,PG,19,CHO,10,65,73%,27%,,,,5.6,16.5,3,1,1,0,3,0,18,1,0,baileam01
22,Patrick Baldwin Jr.,SF,21,WAS,38,493,,,6%,61%,33%,-2.9,7.2,6,7,37,4,15,2,74,8,4,baldwpa01
23,LaMelo Ball,PG,22,CHO,22,711,69%,29%,1%,,,-9.2,1.7,37,22,26,11,40,5,396,7,14,ballla01
24,Mo Bamba,C,25,PHI,57,740,,,,,100%,-3.7,-8.2,12,5,55,19,25,2,102,5,12,bambamo01
25,Paolo Banchero,PF,21,ORL,80,2799,,,,93%,7%,-0.3,-7.3,114,91,92,21,269,0,1054,51,87,banchpa01
26,Desmond Bane,SG,25,MEM,42,1443,13%,50%,34%,3%,,-7.7,-0.7,47,31,57,18,61,10,568,13,61,banede01
27,Dalano Banton,PG,24,TOT,54,1047,41%,58%,1%,,,-11.2,-6.4,47,19,40,8,58,1,306,13,35,bantoda01
28,Dominick Barlow,PF,20,SAS,33,420,,,2%,21%,78%,-4.7,1.8,5,0,30,3,18,2,85,2,8,barlodo01
29,Harrison Barnes,PF,31,SAC,82,2381,,,10%,90%,1%,-1.8,-7.8,23,23,60,5,86,12,238,19,27,barneha02
30,Scottie Barnes,SG,22,TOR,60,2094,,31%,33%,33%,2%,-3.1,7.0,104,31,40,16,111,16,865,30,48,barnesc01
31,RJ Barrett,SG,23,TOT,58,1838,,9%,69%,22%,1%,-3.3,-1.8,64,33,67,14,152,8,472,30,90,barrerj01
32,Charles Bassey,C,23,SAS,19,205,,,,37%,63%,-10.5,-4.4,10,2,20,2,3,0,52,2,1,bassech01
33,Emoni Bates,SF,20,CLE,15,133,5%,31%,63%,1%,,-32.3,-36.1,4,4,4,0,2,2,25,0,3,batesem01
34,Keita Bates-Diop,SF,28,TOT,53,665,,10%,47%,42%,1%,-4.3,-7.9,4,7,23,1,21,0,92,8,16,bateske01
35,Nicolas Batum,PF,35,TOT,60,1529,,,,89%,11%,5.7,4.3,31,5,44,2,8,2,290,1,2,batumni01
36,Darius Bazley,PF,23,TOT,9,152,,,23%,64%,13%,-8.4,-4.2,3,4,2,0,6,0,19,2,4,bazleda01
37,Bradley Beal,SG,30,PHO,53,1767,2%,35%,60%,4%,,3.2,0.0,67,33,70,14,65,13,643,13,37,bealbr01
38,Malik Beasley,SG,27,MIL,79,2337,9%,87%,5%,,,6.5,9.2,26,18,75,1,11,7,264,3,27,beaslma01
39,MarJon Beauchamp,SF,23,MIL,48,608,,21%,69%,10%,,-0.9,-4.3,11,10,28,1,14,1,72,1,17,beaucma01
40,Jules Bernard,SG,24,WAS,19,149,2%,63%,36%,,,4.7,14.5,3,3,8,1,6,2,39,3,2,bernaju01
41,Dāvis Bertāns,PF,31,TOT,43,674,,,12%,54%,35%,-7.6,0.7,9,3,24,5,11,5,83,2,8,bertada01
42,Patrick Beverley,PG,35,TOT,73,1462,100%,,,,,-0.6,-4.3,45,10,55,1,32,16,509,9,14,beverpa01
43,Saddiq Bey,SF,24,ATL,63,2062,,1%,70%,29%,,-1.0,2.6,20,10,39,2,108,3,222,27,49,beysa01
44,Goga Bitadze,C,24,ORL,62,957,,,,,100%,0.3,-1.9,20,6,49,12,35,1,188,10,16,bitadgo01
45,Onuralp Bitim,SG,24,CHI,23,268,,19%,66%,15%,,-6.9,-5.9,6,1,17,1,1,2,31,1,5,bitimon01
46,Bismack Biyombo,C,31,TOT,40,791,,,,59%,42%,-3.6,2.9,14,9,45,13,16,4,129,4,13,biyombi01
47,Anthony Black,PG,20,ORL,69,1164,68%,30%,2%,,,-1.3,-4.4,40,7,65,1,33,19,219,8,16,blackan01
48,Leaky Black,SF,24,CHO,26,284,,,46%,54%,,-6.6,4.3,3,1,9,2,5,2,61,1,5,blackle01
49,Buddy Boeheim,SF,24,DET,10,84,,7%,71%,22%,,15.1,24.5,0,0,3,0,3,0,7,0,1,boehebu01
50,Bogdan Bogdanović,SG,31,ATL,79,2401,,51%,47%,2%,,1.9,10.3,65,30,94,9,68,7,585,13,51,bogdabo01
51,Bojan Bogdanović,SF-PF,34,TOT,57,1478,,1%,35%,63%,1%,-11.6,-9.5,58,29,52,6,63,5,237,13,45,bogdabo02
52,Bol Bol,PF,24,PHO,43,469,,,1%,79%,20%,2.7,-0.7,7,8,29,0,9,0,41,5,3,bolbo01
53,Marques Bolden,C,25,TOT,11,121,,,,,100%,-6.6,3.7,0,0,7,2,1,0,11,0,0,boldema01
54,Devin Booker,PG,27,PHO,68,2447,91%,10%,,,,5.7,6.4,102,50,88,17,174,14,1168,39,48,bookede01
55,Brandon Boston Jr.,SF,22,LAC,32,345,2%,46%,43%,7%,2%,-15.2,-20.6,4,11,26,4,14,3,29,1,13,bostobr01
56,Chris Boucher,PF,31,TOR,50,705,,,12%,55%,34%,2.8,11.2,6,11,46,4,50,12,53,12,14,bouchch01
57,James Bouknight,SG,23,CHO,14,81,,72%,28%,,,-10.5,0.1,2,0,3,0,1,0,14,0,2,bouknja01
58,Jamaree Bouyea,PG,24,TOT,9,95,95%,5%,,,,-8.0,0.1,4,3,7,1,0,1,29,0,2,bouyeja01
59,Malaki Branham,PG,20,SAS,75,1594,62%,36%,2%,,,-10.7,-7.3,62,24,49,2,30,15,377,9,41,branhma01
60,Christian Braun,SG,22,DEN,82,1655,1%,41%,57%,1%,,1.2,-7.5,20,15,70,13,67,4,315,14,46,braunch01
61,Mikal Bridges,SF,27,BRK,82,2854,1%,29%,50%,20%,1%,-3.6,-2.3,82,60,55,6,127,23,748,30,54,bridgmi01
62,Miles Bridges,SF,25,CHO,69,2581,,24%,61%,15%,,-12.0,-3.9,69,49,67,9,111,9,574,40,64,bridgmi02
63,Oshae Brissett,SF,25,BOS,55,630,,15%,56%,29%,1%,10.4,-1.0,8,7,29,2,40,0,116,6,9,brissos01
64,Izaiah Brockington,PG,24,NOP,1,3,100%,,,,,21.4,16.8,0,0,0,0,0,0,0,0,1,brockiz01
65,Malcolm Brogdon,PG,31,POR,39,1121,61%,39%,,,,-3.6,8.0,34,17,32,4,50,8,517,12,29,brogdma01
66,Armoni Brooks,PG,25,BRK,10,104,72%,28%,,,,11.0,14.4,3,0,1,0,1,0,10,1,4,brookar01
67,Dillon Brooks,SF,28,HOU,72,2227,1%,17%,73%,9%,,-0.1,-2.9,41,29,124,10,69,23,285,11,31,brookdi01
68,Bruce Brown,PG-SG,27,TOT,67,1866,17%,78%,5%,,,-5.6,-5.3,36,32,77,7,68,1,456,20,41,brownbr01
69,Charlie Brown Jr.,SG,26,NYK,8,37,,41%,55%,5%,,-13.0,-18.0,1,0,3,0,0,1,0,0,1,brownch02
70,Greg Brown III,PF,22,DAL,6,40,,,59%,35%,7%,-7.5,-9.7,2,1,3,1,4,0,8,1,1,browngr01
71,Jaylen Brown,SF,27,BOS,70,2343,1%,30%,68%,2%,,8.2,-7.7,64,61,74,27,156,10,619,46,72,brownja02
72,Kendall Brown,SG,20,IND,15,63,9%,58%,30%,3%,,-19.2,-22.5,1,0,5,1,4,1,11,0,0,brownke03
73,Kobe Brown,PF,24,LAC,44,394,,,1%,89%,10%,-9.2,-14.3,3,3,29,2,1,1,61,0,6,brownko01
74,Moses Brown,C,24,POR,22,200,,,,,100%,-17.1,-8.1,3,4,20,2,16,0,14,3,12,brownmo01
75,Troy Brown Jr.,SF,24,TOT,59,827,,18%,63%,19%,,-7.2,-6.6,19,6,27,3,12,2,146,1,15,browntr01
76,Jalen Brunson,PG,27,NYK,77,2726,100%,,,,,8.3,11.8,96,67,74,13,222,75,1269,86,64,brunsja01
77,Thomas Bryant,C,26,MIA,38,441,,,,2%,98%,2.0,0.0,2,2,26,10,24,0,59,5,10,bryanth01
78,Kobe Bufkin,SG,20,ATL,17,196,62%,38%,,,,-8.7,-6.8,7,0,11,0,4,0,58,2,7,bufkiko01
